"strain" "hours_to_starve" "block" "type"
"A_QG3397" 104.616666666667 "A7" "RIL"
"A_QG3109" 80.4666666666667 "A7" "RIL"
"A_QG3097" 94.25 "A7" "RIL"
"A_QG3137" 140.583333333333 "A7" "RIL"
"A_QG3226" 89.0666666666667 "A7" "RIL"
"A_QG3457" 94.3833333333333 "A7" "RIL"
"A_QG3103" 95.9 "A7" "RIL"
"A_QG3136" 87.0333333333333 "A7" "RIL"
"A_QG3140" 139.883333333333 "A7" "RIL"
"A_QG3380" 88.3833333333333 "A7" "RIL"
"A_QG3387" 98.7166666666667 "A7" "RIL"
"A_QG3383" 85.55 "A7" "RIL"
"A_QG3409" 91.2 "A7" "RIL"
"A_QG3103" 88.65 "A7" "RIL"
"A_QG3336" 85 "A7" "RIL"
"A_QG3124" 114.516666666667 "A7" "RIL"
"A_QG3232" 95.5 "A7" "RIL"
"A_QG3224" 84.3166666666667 "A7" "RIL"
"A_QG3212" 147.766666666667 "A7" "RIL"
"A_QG3107" 102.9 "A7" "RIL"
"A_QG3494" 90.1333333333333 "A7" "RIL"
"A_QG3397" 99.6166666666667 "A7" "RIL"
"A_QG3089" 94.5166666666667 "A7" "RIL"
"A_QG3109" 82.4666666666667 "A7" "RIL"
"A_QG3231" 135.883333333333 "A7" "RIL"
"A_QG3097" 94.25 "A7" "RIL"
"A_QG3483" 164.5 "A7" "RIL"
"A_QG3137" 163.583333333333 "A7" "RIL"
"A_QG3219" 91.8833333333333 "A7" "RIL"
"A_QG3457" 103.383333333333 "A7" "RIL"
"A_QG3226" 137.816666666667 "A7" "RIL"
"A_QG3136" 92.0333333333333 "A7" "RIL"
"A_QG3140" 169.883333333333 "A7" "RIL"
"A_QG3224" 83.2166666666667 "A7" "RIL"
"A_QG3383" 107.55 "A7" "RIL"
"A_QG3457" 122.133333333333 "A7" "RIL"
"A_QG3336" 88 "A7" "RIL"
"A_QG3109" 80.35 "A7" "RIL"
"A_QG3232" 104.5 "A7" "RIL"
"A_QG3409" 93.2666666666667 "A7" "RIL"
"A_QG3141" 138.05 "A7" "RIL"
"A_QG3107" 126.9 "A7" "RIL"
"A_QG3494" 123.133333333333 "A7" "RIL"
"A_QG3120" 164.383333333333 "A7" "RIL"
"A_QG3089" 118.516666666667 "A7" "RIL"
"A_QG3097" 97.25 "A7" "RIL"
"A_QG3219" 106.883333333333 "A7" "RIL"
"A_QG3137" 107.333333333333 "A7" "RIL"
"A_QG3226" 94.8166666666667 "A7" "RIL"
"A_QG3136" 87.0333333333333 "A7" "RIL"
"A_QG3089" 88.3333333333333 "A7" "RIL"
"A_QG3103" 111.65 "A7" "RIL"
"A_QG3383" 88.55 "A7" "RIL"
"A_QG3380" 102.45 "A7" "RIL"
"A_QG3473" 94.9333333333333 "A7" "RIL"
"A_QG3212" 195.766666666667 "A7" "RIL"
"A_QG3232" 91.5 "A7" "RIL"
"A_QG3124" 123.583333333333 "A7" "RIL"
"A_QG3141" 79.05 "A7" "RIL"
"A_QG3107" 111.9 "A7" "RIL"
"A_QG3120" 86.3833333333333 "A7" "RIL"
"A_QG3397" 108.7 "A7" "RIL"
"A_QG3231" 171.883333333333 "A7" "RIL"
"A_QG3219" 99.8833333333333 "A7" "RIL"
"A_QG3118" 115.116666666667 "A8" "RIL"
"A_QG3215" 122.366666666667 "A8" "RIL"
"A_QG3344" 101.383333333333 "A8" "RIL"
"A_QG3105" 104 "A8" "RIL"
"A_QG3510" 177.166666666667 "A8" "RIL"
"A_QG3335" 93.1166666666667 "A8" "RIL"
"A_QG3239" 103.216666666667 "A8" "RIL"
"A_QG3470" 130.15 "A8" "RIL"
"A_QG3112" 161.916666666667 "A8" "RIL"
"A_QG3327" 91.4 "A8" "RIL"
"A_QG3236" 101.233333333333 "A8" "RIL"
"A_QG3086" 97.6666666666667 "A8" "RIL"
"A_QG3252" 103.316666666667 "A8" "RIL"
"A_QG3118" 111.116666666667 "A8" "RIL"
"A_QG3344" 96.2666666666667 "A8" "RIL"
"A_QG3121" 157.8 "A8" "RIL"
"A_QG3086" 93.4166666666667 "A8" "RIL"
"A_QG3400" 90.2666666666667 "A8" "RIL"
"A_QG3509" 141.166666666667 "A8" "RIL"
"A_QG3220" 176.616666666667 "A8" "RIL"
"A_QG3135" 123.25 "A8" "RIL"
"A_QG3346" 103.7 "A8" "RIL"
"A_QG3106" 152.933333333333 "A8" "RIL"
"A_QG3215" 100.433333333333 "A8" "RIL"
"A_QG3463" 115.233333333333 "A8" "RIL"
"A_QG3510" 120.166666666667 "A8" "RIL"
"A_QG3089" 104.666666666667 "A8" "RIL"
"A_QG3239" 95.2166666666667 "A8" "RIL"
"A_QG3483" 126.666666666667 "A8" "RIL"
"A_QG3112" 122.916666666667 "A8" "RIL"
"A_QG3111" 91.1833333333333 "A8" "RIL"
"A_QG3236" 101.233333333333 "A8" "RIL"
"A_QG3327" 93.1333333333333 "A8" "RIL"
"A_QG3252" 156.316666666667 "A8" "RIL"
"A_QG3118" 114.116666666667 "A8" "RIL"
"A_QG3106" 141.816666666667 "A8" "RIL"
"A_QG3121" 206.8 "A8" "RIL"
"A_QG3236" 97.9833333333333 "A8" "RIL"
"A_QG3400" 109.266666666667 "A8" "RIL"
"A_QG3105" 121 "A8" "RIL"
"A_QG3346" 108.7 "A8" "RIL"
"A_QG3510" 159.166666666667 "A8" "RIL"
"A_QG3089" 129.666666666667 "A8" "RIL"
"A_QG3335" 140.2 "A8" "RIL"
"A_QG3239" 101.216666666667 "A8" "RIL"
"A_QG3111" 97.1833333333333 "A8" "RIL"
"A_QG3112" 128.666666666667 "A8" "RIL"
"A_QG3327" 90.15 "A8" "RIL"
"A_QG3252" 151.333333333333 "A8" "RIL"
"A_QG3089" 113.483333333333 "A8" "RIL"
"A_QG3086" 90.4166666666667 "A8" "RIL"
"A_QG3400" 115.266666666667 "A8" "RIL"
"A_QG3483" 153.483333333333 "A8" "RIL"
"A_QG3105" 136 "A8" "RIL"
"A_QG3346" 103.7 "A8" "RIL"
"A_QG3220" 176.683333333333 "A8" "RIL"
