"strain" "block" "scaled_mean_worm_length_um_f" "scaled_mean_worm_length_um_m" "mean_worm_length_um_f" "mean_worm_length_um_m" "scaled_SE_f" "scaled_SE_m" "SE_f" "SE_m" "weight_f" "weight_m" "conv" "div" "SE_rotated" "weight_rotated"
"QG3252" "D" -0.961118213468105 -1.45271045950896 858.692574395627 693.944407102324 0.0513218943602082 0.108476643513696 3.9150662233496 4.12779726610948 1.46503526143623 4.04889789374339 -2.04604690776752 0.00613323673478972 0.0848561106483139 138.8780966265
"QG3254" "G" 1.0196997730435 0.369034837640223 1009.79832936183 763.266198536355 0.113848249593087 0.325795379729147 8.6848593982329 12.3972980191564 0.297715001629507 0.448868842065361 0.673139221965492 0.131858967607243 0.244032839376455 16.7920397593873
"QG3255" "B" 1.21144135551694 0.25334070828627 1024.42524449253 758.863758569711 0.0586815912418993 0.293428095691331 4.47649718833636 11.1656449901261 1.12059755535619 0.55335764204124 0.728479971209095 0.351903390481659 0.211593450385075 22.3354938272416
"QG3257" "G" 0.713857328534241 0.503720796334218 986.467284413238 768.391323301211 0.0450483081487331 0.149650228447274 3.43648869260939 5.69455123101523 1.90150058911994 2.12742634986457 0.549379392986633 -0.183641551303444 0.110509142023148 81.8848552691216
"QG3258" "G" 0.689472301607833 0.191433738858941 984.607084269319 756.508049443045 0.0611849434562392 0.314948310730434 4.66746421754852 11.9845409471463 1.03077602447554 0.480320072068412 0.309580162353514 0.0211351518705553 0.226865638360789 19.4295417116745
"QG3262" "A" 0.989062873621585 0.524288795624906 1007.46120810763 769.173985158099 0.139718113075928 0.292515994462302 10.6583295903788 11.130937343967 0.197673299286217 0.55681389798612 0.761649173405154 -0.000652643314052737 0.229223426090973 19.0318936033599
"QG3265" "A" 1.96287929677438 NA 1081.74832929747 NA 0.4662523949278 NA 35.5678414776715 NA 0.0177505283009538 NA NA NA NA NA
"QG3265" "G" 1.23976751568493 0.99528639954065 1026.58609210529 787.096577144844 0.0787141266991649 0.486462379624506 6.00466959729565 18.5110639086618 0.622799236517147 0.201331061114214 1.27694321178778 -0.155876945571697 0.348454846810853 8.23582254873901
"QG3266" "B" -0.0514194493317923 0.200740574493134 928.088510560725 756.862196929938 0.0389804372630237 0.297630669766068 2.97360405733946 11.3255630445055 2.53956902563134 0.537841041201692 -0.215840958414728 -0.517535301663224 0.212253963537333 22.1966984668829
"QG3267" "A" 1.63224636095021 1.39347088189251 1056.52615354754 802.248454677372 0.0980865960720778 0.258941452598627 7.48248917995648 9.85334525016051 0.40108286433318 0.710568813144996 1.8422186354947 -0.157462151633575 0.195795373033805 26.0852588694245
"QG3282" "E" 1.08005608433901 0.886235298584428 1014.40258177037 782.946920390978 0.242606047601416 0.263939557429857 18.5070865833253 10.043535163766 0.0655616974432204 0.683912173294842 1.08462868517672 -0.192944900543641 0.253497321789649 15.5615642184885
