rilname,panel,lib,file1,file2
QG3219,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3219.fastq.gz,H2L2LDSXC_l02_n02_A_QG3219.fastq.gz
QG3220,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3220.fastq.gz,H2L2LDSXC_l02_n02_A_QG3220.fastq.gz
QG3221,alpha,HF753DRX7,HF753DRX7_n01_QG3221_TP25.fastq.gz,HF753DRX7_n02_QG3221_TP25.fastq.gz
QG3222,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3222.fastq.gz,H2L2LDSXC_l02_n02_A_QG3222.fastq.gz
QG3223,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3223.fastq.gz,H2L2LDSXC_l02_n02_A_QG3223.fastq.gz
QG3224,alpha,HF753DRX7,HF753DRX7_n01_QG3224_TP25.fastq.gz,HF753DRX7_n02_QG3224_TP25.fastq.gz
QG3225,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3225.fastq.gz,H2L2LDSXC_l02_n02_A_QG3225.fastq.gz
QG3226,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3226.fastq.gz,H2L2LDSXC_l02_n02_A_QG3226.fastq.gz
QG3227,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3227.fastq.gz,H2L2LDSXC_l02_n02_A_QG3227.fastq.gz
QG3230,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3230.fastq.gz,H2L2LDSXC_l02_n02_A_QG3230.fastq.gz
QG3231,alpha,HF753DRX7,HF753DRX7_n01_QG3231_TP25.fastq.gz,HF753DRX7_n02_QG3231_TP25.fastq.gz
QG3232,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3232.fastq.gz,H2L2LDSXC_l02_n02_A_QG3232.fastq.gz
QG3233,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3233.fastq.gz,H2L2LDSXC_l02_n02_A_QG3233.fastq.gz
QG3234,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3234.fastq.gz,H2L2LDSXC_l02_n02_A_QG3234.fastq.gz
QG3235,alpha,HF753DRX7,HF753DRX7_n01_QG3235_TP25.fastq.gz,HF753DRX7_n02_QG3235_TP25.fastq.gz
QG3236,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3236.fastq.gz,H2L2LDSXC_l02_n02_A_QG3236.fastq.gz
QG3237,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3237.fastq.gz,H2L2LDSXC_l02_n02_A_QG3237.fastq.gz
QG3238,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3238.fastq.gz,H2L2LDSXC_l02_n02_A_QG3238.fastq.gz
QG3239,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3239.fastq.gz,H2L2LDSXC_l02_n02_A_QG3239.fastq.gz
QG3240,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3240.fastq.gz,H2L2LDSXC_l02_n02_A_QG3240.fastq.gz
QG3241,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3241.fastq.gz,H2L2LDSXC_l02_n02_A_QG3241.fastq.gz
QG3242,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3242.fastq.gz,H2L2LDSXC_l02_n02_A_QG3242.fastq.gz
QG3243,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3243.fastq.gz,H2L2LDSXC_l02_n02_A_QG3243.fastq.gz
QG3244,alpha,HF753DRX7,HF753DRX7_n01_QG3244_TP25.fastq.gz,HF753DRX7_n02_QG3244_TP25.fastq.gz
QG3245,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3245.fastq.gz,H2L2LDSXC_l02_n02_A_QG3245.fastq.gz
QG3246,alpha,HF753DRX7,HF753DRX7_n01_QG3246_TP25.fastq.gz,HF753DRX7_n02_QG3246_TP25.fastq.gz
QG3248,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3248.fastq.gz,H2L2LDSXC_l02_n02_A_QG3248.fastq.gz
QG3249,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3249.fastq.gz,H2L2LDSXC_l02_n02_A_QG3249.fastq.gz
QG3250,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3250.fastq.gz,H2L2LDSXC_l02_n02_A_QG3250.fastq.gz
QG3251,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3251.fastq.gz,H2L2LDSXC_l02_n02_A_QG3251.fastq.gz
QG3252,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3252.fastq.gz,H2L2LDSXC_l02_n02_A_QG3252.fastq.gz
QG3254,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3254.fastq.gz,H2L2LDSXC_l02_n02_A_QG3254.fastq.gz
QG3255,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3255.fastq.gz,H2L2LDSXC_l02_n02_A_QG3255.fastq.gz
QG3256,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3256.fastq.gz,H2L2LDSXC_l02_n02_A_QG3256.fastq.gz
QG3257,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3257.fastq.gz,H2L2LDSXC_l02_n02_A_QG3257.fastq.gz
QG3258,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3258.fastq.gz,H2L2LDSXC_l02_n02_A_QG3258.fastq.gz
QG3261,alpha,HF753DRX7,HF753DRX7_n01_QG3261_TP25.fastq.gz,HF753DRX7_n02_QG3261_TP25.fastq.gz
QG3262,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3262.fastq.gz,H2L2LDSXC_l02_n02_A_QG3262.fastq.gz
QG3263,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3263.fastq.gz,H2L2LDSXC_l02_n02_A_QG3263.fastq.gz
QG3264,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3264.fastq.gz,H2L2LDSXC_l02_n02_A_QG3264.fastq.gz
QG3265,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3265.fastq.gz,H2L2LDSXC_l02_n02_A_QG3265.fastq.gz
