outdir,nCO,nHet,sizeHetall,sizeHet_het,nGoutcross,cross,N
output/panelA_N400_nGoutcross5_nloci500,22.292519143142407,60,1.2917721518987342,3.401666666666667,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.335314260679315,55,1.0132911392405064,2.910909090909091,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.49754916178066,70,1.3098101265822786,2.9564285714285714,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.78204690004522,56,0.9724683544303798,2.7437500000000004,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.59832425638877,72,1.3465189873417722,2.954861111111111,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.224319823393262,60,1.1170886075949367,2.941666666666667,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.46234913244115,68,1.1905063291139242,2.7661764705882352,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.105619606403067,57,0.87373417721519,2.4219298245614036,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.86341239059951,59,1.3623417721518989,3.648305084745763,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.470848008411576,64,1.3661392405063293,3.3726562500000004,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.142802873125454,60,1.3113924050632912,3.4533333333333336,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.21236746290772,59,0.9718354430379748,2.602542372881356,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.67635994431999,54,0.9952531645569621,2.912037037037037,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.077747775700026,67,1.0458860759493671,2.4664179104477615,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.408102645351466,68,1.2221518987341773,2.8397058823529413,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.431520604318592,61,1.1382911392405064,2.948360655737705,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.874325137228364,67,1.2702531645569621,2.9955223880597015,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.33844233016559,63,1.2974683544303798,3.253968253968254,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.98731609601269,65,1.3303797468354432,3.2338461538461543,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.78968759793966,63,1.3525316455696204,3.3920634920634924,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.131563675074936,59,0.9117088607594938,2.4415254237288138,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.776549582279632,61,1.4060126582278483,3.6418032786885246,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.732139617611235,59,1.0806962025316456,2.8940677966101696,5,A,400
output/panelA_N400_nGoutcross5_nloci500,21.887253876517107,52,0.9835443037974684,2.9884615384615385,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.003351430729317,61,0.9531645569620254,2.4688524590163934,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.915345525597253,57,1.1993670886075951,3.3245614035087723,5,A,400
output/panelA_N400_nGoutcross6_nloci500,23.808788885167424,61,1.1253164556962025,2.914754098360656,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.27619356959904,55,1.0126582278481013,2.909090909090909,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.744899180056482,55,1.1231012658227848,3.2263636363636365,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.03202439137923,58,1.0936708860759494,2.9793103448275864,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.587926400018215,62,1.3724683544303797,3.4975806451612907,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.337366323222195,76,1.273101265822785,2.6467105263157897,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.27117419168899,74,1.7006329113924052,3.6310810810810814,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.568766836440517,67,1.210759493670886,2.855223880597015,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.466536632255437,55,0.999367088607595,2.870909090909091,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.157233271955228,63,0.9525316455696203,2.388888888888889,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.837156940085634,57,0.9487341772151899,2.6298245614035087,6,A,400
output/panelA_N400_nGoutcross6_nloci500,22.461207541508934,54,1.0632911392405064,3.111111111111111,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.36216224964399,71,1.3113924050632912,2.9183098591549297,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.304882497438882,59,1.1848101265822786,3.1728813559322036,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.610899259252285,63,1.0515822784810127,2.6373015873015873,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.819929616067135,65,1.0680379746835444,2.5961538461538463,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.43284992611608,59,1.3085443037974684,3.5042372881355934,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.407820724903655,57,0.8177215189873418,2.2666666666666666,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.656969140780337,65,1.2955696202531646,3.1492307692307695,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.200453436506567,58,1.0670886075949368,2.906896551724138,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.324449556115812,73,1.3148734177215191,2.8458904109589045,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.17008483762242,63,1.1468354430379748,2.876190476190476,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.442708272772546,60,0.8072784810126583,2.1258333333333335,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.250138961119,68,1.1563291139240506,2.686764705882353,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.4851501239058,59,1.1417721518987343,3.057627118644068,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.12100204167546,59,1.0287974683544303,2.755084745762712,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.62789313519173,62,1.0835443037974684,2.761290322580645,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.32593510248425,60,0.9658227848101266,2.5433333333333334,6,A,400
output/panelA_N400_nGoutcross6_nloci500,22.90658002350302,60,1.018987341772152,2.6833333333333336,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.72016063389019,57,0.9329113924050634,2.585964912280702,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.05737266710443,54,1.1613924050632911,3.3981481481481484,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.19299695685917,60,1.0155063291139241,2.674166666666667,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.206775516032266,74,1.8702531645569622,3.9932432432432434,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.655312043357583,64,1.14873417721519,2.8359375,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.491399718211646,64,1.245886075949367,3.0757812500000004,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.784727690407067,66,1.1901898734177216,2.8492424242424246,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.669601834514626,59,1.0911392405063292,2.922033898305085,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.446289066208138,64,1.2281645569620254,3.03203125,6,A,400
output/panelA_N400_nGoutcross6_nloci500,22.798159123939673,69,1.024367088607595,2.345652173913044,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.281121217963324,56,1.0879746835443038,3.069642857142857,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.401480503150683,54,1.0496835443037975,3.0712962962962966,6,A,400
