gpos1,gpos2,mean.r2,nobs,chrom,panel,domain
3,3.1,0.1385234206851819,865267,I,β,center
3.1,3.2,0.14214938246510983,936186,I,β,center
3.2,3.3000000000000003,0.17183366816232554,1046353,I,β,center
3.3000000000000003,3.4000000000000004,0.17942693725957004,1637723,I,β,center
3.4000000000000004,3.5,0.1929248988927095,1547493,I,β,center
3.5,3.6,0.18362405397252068,1330347,I,β,center
3.6,3.7,0.1500380943573409,1288453,I,β,center
3.7,3.8000000000000003,0.15198998181540543,1700840,I,β,center
3.8000000000000003,3.9000000000000004,0.14638270430263647,1612823,I,β,center
3.9000000000000004,4,0.1403192995590973,1999184,I,β,center
4,4.1000000000000005,0.14138970821871266,1541120,I,β,center
4.1000000000000005,4.2,0.14876205575192916,1338852,I,β,center
4.2,4.3,0.15424930723748273,1530993,I,β,center
4.3,4.4,0.15286173516853252,938645,I,β,center
4.4,4.5,0.13609202659284322,45970,I,β,center
4.5,4.6000000000000005,0.12907357671157174,53200,I,β,center
4.6000000000000005,4.7,0.13016526242564483,57898,I,β,center
4.7,4.800000000000001,0.14222556101429323,67223,I,β,center
4.800000000000001,4.9,0.13782943453239874,66619,I,β,center
4.9,5,0.1517340271079209,48264,I,β,center
0,0.1,0.6415647694878912,3130782,II,α,arm
0.1,0.2,0.5098410297634816,1104039,II,α,arm
0.2,0.30000000000000004,0.3736543386906949,908150,II,α,arm
0.30000000000000004,0.4,0.39204230571176896,611319,II,α,arm
0.4,0.5,0.401206532450124,646821,II,α,arm
0.5,0.6000000000000001,0.3990407224627073,612522,II,α,arm
0.6000000000000001,0.7000000000000001,0.3689796310468542,571089,II,α,arm
0.7000000000000001,0.8,0.3332246290081611,613880,II,α,arm
0.8,0.9,0.3218204607738843,509694,II,α,arm
0.9,1,0.3147249119410585,517414,II,α,arm
1,1.1,0.28565417210111793,562170,II,α,arm
1.1,1.2000000000000002,0.30740054758459145,477800,II,α,arm
1.2000000000000002,1.3,0.30432981992654456,450307,II,α,arm
1.3,1.4000000000000001,0.29189956360584896,432026,II,α,arm
1.4000000000000001,1.5,0.2829702016477424,415635,II,α,arm
1.5,1.6,0.2858956654374426,379247,II,α,arm
1.6,1.7000000000000002,0.2700758885397244,403780,II,α,arm
1.7000000000000002,1.8,0.2599774966307962,396868,II,α,arm
1.8,1.9000000000000001,0.26028018258688,408979,II,α,arm
1.9000000000000001,2,0.2571924225409705,401310,II,α,arm
2,2.1,0.2542577994809283,382954,II,α,arm
2.1,2.2,0.24297691003367794,428471,II,α,arm
2.2,2.3000000000000003,0.22980968398585178,476881,II,α,arm
2.3000000000000003,2.4000000000000004,0.23437272370675702,448481,II,α,arm
2.4000000000000004,2.5,0.23270631482552956,460696,II,α,arm
2.5,2.6,0.22925853906816324,460710,II,α,arm
2.6,2.7,0.22422776571118427,477955,II,α,arm
2.7,2.8000000000000003,0.23726396239633346,456653,II,α,arm
2.8000000000000003,2.9000000000000004,0.23080348817845972,501971,II,α,arm
2.9000000000000004,3,0.23370007073057053,491991,II,α,arm
3,3.1,0.23942452764449151,477850,II,α,arm
3.1,3.2,0.22820320909994687,490709,II,α,arm
3.2,3.3000000000000003,0.21699475003085048,553171,II,α,arm
3.3000000000000003,3.4000000000000004,0.2027058149098925,586416,II,α,arm
3.4000000000000004,3.5,0.17709691348875164,639824,II,α,arm
3.5,3.6,0.17497110251288056,683648,II,α,arm
3.6,3.7,0.19316768016248617,473164,II,α,arm
3.7,3.8000000000000003,0.20814242930879528,414400,II,α,arm
3.8000000000000003,3.9000000000000004,0.21658115805134054,385840,II,α,arm
3.9000000000000004,4,0.21336264100544067,416768,II,α,arm
4,4.1000000000000005,0.1999936210558704,412383,II,α,arm
4.1000000000000005,4.2,0.20088991457282934,376829,II,α,arm
4.2,4.3,0.18762101435302886,387099,II,α,arm
4.3,4.4,0.17799006360592648,391352,II,α,arm
4.4,4.5,0.1815794848905594,371382,II,α,arm
4.5,4.6000000000000005,0.18952488118175706,346400,II,α,arm
4.6000000000000005,4.7,0.18829231413924277,314696,II,α,arm
4.7,4.800000000000001,0.18003804611787222,311632,II,α,arm
4.800000000000001,4.9,0.17618283782526933,326509,II,α,arm
4.9,5,0.17521607382866172,312313,II,α,arm
0,0.1,0.5884799472034143,20313034,II,α,arm&center
0.1,0.2,0.5409875639089287,15519297,II,α,arm&center
0.2,0.30000000000000004,0.5087617242823538,13078807,II,α,arm&center
0.30000000000000004,0.4,0.5012102027956413,10671919,II,α,arm&center
0.4,0.5,0.4731575818428847,8292384,II,α,arm&center
0.5,0.6000000000000001,0.459938055153139,4763370,II,α,arm&center
0.6000000000000001,0.7000000000000001,0.459553815528306,5034917,II,α,arm&center
0.7000000000000001,0.8,0.43504328421257565,5588234,II,α,arm&center
0.8,0.9,0.40613702065964413,5973878,II,α,arm&center
0.9,1,0.39527096048970217,6197935,II,α,arm&center
1,1.1,0.3739873065346226,6613072,II,α,arm&center
1.1,1.2000000000000002,0.34462722660413314,5361101,II,α,arm&center
1.2000000000000002,1.3,0.3161237700829499,4482401,II,α,arm&center
1.3,1.4000000000000001,0.3190597454368658,3512471,II,α,arm&center
1.4000000000000001,1.5,0.31998220559140084,2848774,II,α,arm&center
1.5,1.6,0.34867925610619666,1824044,II,α,arm&center
1.6,1.7000000000000002,0.3781633987670518,1646874,II,α,arm&center
1.7000000000000002,1.8,0.3816404322083986,2116114,II,α,arm&center
1.8,1.9000000000000001,0.3613494640393017,2368191,II,α,arm&center
1.9000000000000001,2,0.3748574614403879,3112001,II,α,arm&center
2,2.1,0.3554564523432149,3646395,II,α,arm&center
2.1,2.2,0.3341375358075953,3649090,II,α,arm&center
2.2,2.3000000000000003,0.33350802599362833,3478996,II,α,arm&center
2.3000000000000003,2.4000000000000004,0.32239815842875136,3141364,II,α,arm&center
